date;rf
189708;0.0023818260
189709;0.0026615333
189710;0.0027277683
189711;0.0021314951
189712;0.0021609491
189801;0.0020357639
189802;0.0019400234
189803;0.0030662344
189804;0.0038751456
189805;0.0030662344
189806;0.0020283995
189807;0.0023376545
189808;0.0023229302
189809;0.0026688930
189810;0.0021535857
189811;0.0020725847
189812;0.0018737362
189901;0.0017779802
189902;0.0018884671
189903;0.0024848851
189904;0.0023597405
189905;0.0022934811
189906;0.0020799487
189907;0.0023376545
189908;0.0028455087
189909;0.0032795563
189910;0.0034634180
189911;0.0036325409
189912;0.0039707009
190001;0.0032722012
190002;0.0028822997
190003;0.0032354245
190004;0.0027719226
190005;0.0023671024
190006;0.0023523785
190007;0.0026100142
190008;0.0027277683
190009;0.0028381503
190010;0.0033604596
190011;0.0028822997
190012;0.0031397988
190101;0.0026100142
190102;0.0023597405
190103;0.0024039110
190104;0.0025658528
190105;0.0025658528
190106;0.0025437713
190107;0.0028087163
190108;0.0029558776
190109;0.0032795563
190110;0.0030662344
190111;0.0031177301
190112;0.0032795563
190201;0.0029558776
190202;0.0025879337
190203;0.0028381503
190204;0.0029411625
190205;0.0029779500
190206;0.0029117315
190207;0.0030441640
190208;0.0032060022
190209;0.0037722296
190210;0.0040148003
190211;0.0038751456
190212;0.0040588978
190301;0.0034119401
190302;0.0032060022
190303;0.0037722296
190304;0.0034854791
190305;0.0031397988
190306;0.0033825230
190307;0.0036472459
190308;0.0040148003
190309;0.0040588978
190310;0.0039413002
190311;0.0040368493
190312;0.0039486505
190401;0.0032354245
190402;0.0031618671
190403;0.0030883043
190404;0.0026320941
190405;0.0025290501
190406;0.0023008434
190407;0.0022419429
190408;0.0024996070
190409;0.0028160749
190410;0.0028822997
190411;0.0026836121
190412;0.0027939990
190501;0.0025658528
190502;0.0024628019
190503;0.0025364108
190504;0.0025658528
190505;0.0025732131
190506;0.0024039110
190507;0.0026762526
190508;0.0027351275
190509;0.0031177301
190510;0.0032869114
190511;0.0037501748
190512;0.0039192492
190601;0.0033604596
190602;0.0033457504
