,All,Crisis,Good
E[theta],1.836,3.466,1.836
E[thetah],0.692,0.607,0.692
E[iota],0.044,0.044,0.044
E[r],0.027,-0.012,0.027
E[rp],0.035,0.169,0.035
E[rph],0.021,0.065,0.021
E[Q],1.443,1.444,1.443
E[sigka],0.058,0.139,0.058
E[mrp],0.608,1.205,0.608
E[mrph],0.353,0.466,0.353
E[pd],21.973,23.391,21.973
E[mure],0.062,0.12,0.062
E[outputG],0.015,-0.116,0.015
E[retQ],0.0,-0.012,0.0
Std[theta],0.2217,0.0117,0.2211
Std[thetah],0.0286,0.0031,0.0286
Std[iota],0.0006,0.0004,0.0006
Std[r],0.0026,0.0003,0.0026
Std[rp],0.0024,0.002,0.002
Std[rph],0.0005,0.0006,0.0004
Std[Q],0.006,0.0037,0.006
Std[sigka],0.0006,0.001,0.0003
Std[mrp],0.0371,0.0109,0.0366
Std[mrph],0.005,0.0025,0.0049
Std[pd],0.2946,0.0162,0.2942
Std[mure],0.0017,0.0086,0.0012
Std[outputG],0.049,0.0093,0.049
Std[retQ],0.0015,0.0026,0.0015
"Corr(theta,shock)",-0.2159,0.3333,-0.2155
"Corr(theta,Q)",0.9819,-1.0,0.9856
"Corr(theta,mrp)",0.9828,1.0,0.9868
"Corr(shock,mrp)",-0.2211,0.3333,-0.2218
"Corr(Q,r)",-0.9862,1.0,-0.9983
"Corr(retQ,r)",-0.1579,1.0,-0.1732
"Corr(rp,sigka)",-0.4584,-0.3333,-0.9636
"Corr(shock,sigka)",0.1531,-1.0,0.2181
"Corr(mure,r)",0.6447,-1.0,0.8982
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0002,,
gamma,7.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
