,All,Crisis,Good
E[theta],1.745,3.339,1.745
E[thetah],0.705,0.595,0.705
E[iota],0.044,0.046,0.044
E[r],0.023,-0.011,0.023
E[rp],0.039,0.158,0.039
E[rph],0.024,0.066,0.024
E[Q],1.44,1.461,1.44
E[sigka],0.058,0.129,0.058
E[mrp],0.67,1.209,0.67
E[mrph],0.408,0.507,0.408
E[pd],21.842,23.282,21.842
E[mure],0.062,0.043,0.062
E[outputG],0.015,-0.077,0.015
E[retQ],-0.0,-0.002,-0.0
Std[theta],0.1838,0.0002,0.1835
Std[thetah],0.0274,0.0001,0.0273
Std[iota],0.0006,0.0,0.0006
Std[r],0.0025,0.0,0.0025
Std[rp],0.0021,0.0,0.002
Std[rph],0.0005,0.0,0.0004
Std[Q],0.0055,0.0001,0.0055
Std[sigka],0.0004,0.0,0.0002
Std[mrp],0.0363,0.0002,0.0361
Std[mrph],0.0057,0.0001,0.0056
Std[pd],0.2686,0.0004,0.2684
Std[mure],0.0009,0.0,0.0006
Std[outputG],0.049,0.0024,0.049
Std[retQ],0.0013,0.0008,0.0013
"Corr(theta,shock)",-0.2212,-1.0,-0.221
"Corr(theta,Q)",0.9874,-1.0,0.9879
"Corr(theta,mrp)",0.9908,1.0,0.9918
"Corr(shock,mrp)",-0.2266,-1.0,-0.2266
"Corr(Q,r)",-0.9963,1.0,-0.9988
"Corr(retQ,r)",-0.1739,1.0,-0.176
"Corr(rp,sigka)",-0.7522,-1.0,-0.998
"Corr(shock,sigka)",0.194,1.0,0.2288
"Corr(mure,r)",0.8553,-1.0,0.9994
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0001,,
gamma,8.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
