,All,Crisis,Good
E[theta],1.49,,1.49
E[thetah],0.755,,0.755
E[iota],0.043,,0.043
E[r],0.005,,0.005
E[rp],0.057,,0.057
E[rph],0.041,,0.041
E[Q],1.431,,1.431
E[sigka],0.059,,0.059
E[mrp],0.975,,0.975
E[mrph],0.693,,0.693
E[pd],21.398,,21.398
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.0923,,0.0923
Std[thetah],0.0225,,0.0225
Std[iota],0.0004,,0.0004
Std[r],0.0021,,0.0021
Std[rp],0.0017,,0.0017
Std[rph],0.0005,,0.0005
Std[Q],0.0039,,0.0039
Std[sigka],0.0002,,0.0002
Std[mrp],0.0313,,0.0313
Std[mrph],0.0074,,0.0074
Std[pd],0.1841,,0.1841
Std[mure],0.0005,,0.0005
Std[outputG],0.0492,,0.0492
Std[retQ],0.001,,0.001
"Corr(theta,shock)",-0.2505,,-0.2505
"Corr(theta,Q)",0.9959,,0.9959
"Corr(theta,mrp)",0.9991,,0.9991
"Corr(shock,mrp)",-0.2527,,-0.2527
"Corr(Q,r)",-0.9991,,-0.9991
"Corr(retQ,r)",-0.1902,,-0.1902
"Corr(rp,sigka)",-0.9986,,-0.9986
"Corr(shock,sigka)",0.255,,0.255
"Corr(mure,r)",0.9996,,0.9996
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,13.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
