,All,Crisis,Good
E[theta],1.365,,1.365
E[thetah],0.79,,0.79
E[iota],0.043,,0.043
E[r],-0.012,,-0.012
E[rp],0.075,,0.075
E[rph],0.058,,0.058
E[Q],1.425,,1.425
E[sigka],0.059,,0.059
E[mrp],1.272,,1.272
E[mrph],0.985,,0.985
E[pd],21.124,,21.124
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],-0.0,,-0.0
Std[theta],0.0563,,0.0563
Std[thetah],0.0183,,0.0183
Std[iota],0.0003,,0.0003
Std[r],0.0018,,0.0018
Std[rp],0.0014,,0.0014
Std[rph],0.0006,,0.0006
Std[Q],0.0029,,0.0029
Std[sigka],0.0001,,0.0001
Std[mrp],0.0263,,0.0263
Std[mrph],0.0079,,0.0079
Std[pd],0.1325,,0.1325
Std[mure],0.0004,,0.0004
Std[outputG],0.0491,,0.0491
Std[retQ],0.0008,,0.0008
"Corr(theta,shock)",-0.2719,,-0.2719
"Corr(theta,Q)",0.9983,,0.9983
"Corr(theta,mrp)",0.9997,,0.9997
"Corr(shock,mrp)",-0.2731,,-0.2731
"Corr(Q,r)",-0.9996,,-0.9996
"Corr(retQ,r)",-0.2089,,-0.2089
"Corr(rp,sigka)",-0.9994,,-0.9994
"Corr(shock,sigka)",0.2746,,0.2746
"Corr(mure,r)",0.9998,,0.9998
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,18.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
