,All,Crisis,Good
E[theta],2.733,4.316,2.68
E[thetah],0.621,0.643,0.62
E[iota],0.046,0.039,0.046
E[r],0.046,0.003,0.047
E[rp],0.019,0.146,0.014
E[rph],0.006,0.03,0.005
E[Q],1.458,1.389,1.46
E[sigka],0.061,0.167,0.058
E[mrp],0.269,0.877,0.249
E[mrph],0.093,0.182,0.09
E[pd],22.847,23.797,22.815
E[mure],0.064,0.144,0.061
E[outputG],0.016,-0.091,0.019
E[retQ],0.0,-0.015,0.0
Std[theta],0.5462,0.676,0.4534
Std[thetah],0.0278,0.0598,0.0256
Std[iota],0.002,0.0076,0.0007
Std[r],0.0081,0.0031,0.0023
Std[rp],0.0232,0.0084,0.0024
Std[rph],0.0044,0.0013,0.0004
Std[Q],0.0196,0.0761,0.0066
Std[sigka],0.0193,0.0069,0.0019
Std[mrp],0.1147,0.0878,0.0281
Std[mrph],0.0165,0.0109,0.002
Std[pd],0.3795,0.2912,0.3392
Std[mure],0.0235,0.0323,0.0175
Std[outputG],0.06,0.1628,0.0495
Std[retQ],0.0118,0.0553,0.0059
"Corr(theta,shock)",-0.2714,-0.0234,-0.2391
"Corr(theta,Q)",-0.1927,-0.9357,0.9827
"Corr(theta,mrp)",0.7232,0.9787,0.9537
"Corr(shock,mrp)",-0.2002,-0.0163,-0.2262
"Corr(Q,r)",0.4865,-0.6141,-0.8941
"Corr(retQ,r)",0.1782,-0.2219,-0.2129
"Corr(rp,sigka)",0.9896,-0.6995,0.6536
"Corr(shock,sigka)",-0.1501,0.0202,0.0115
"Corr(mure,r)",-0.4944,-0.3007,0.547
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.036,,
gamma,2.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
