,All,Crisis,Good
E[theta],2.094,3.697,2.09
E[thetah],0.663,0.615,0.663
E[iota],0.045,0.043,0.045
E[r],0.034,-0.006,0.034
E[rp],0.028,0.164,0.028
E[rph],0.014,0.054,0.014
E[Q],1.449,1.431,1.449
E[sigka],0.058,0.15,0.058
E[mrp],0.476,1.087,0.475
E[mrph],0.246,0.36,0.246
E[pd],22.284,23.521,22.282
E[mure],0.062,0.147,0.062
E[outputG],0.016,-0.103,0.016
E[retQ],0.0,-0.011,0.0
Std[theta],0.3327,0.1434,0.3254
Std[thetah],0.0302,0.0277,0.0301
Std[iota],0.0007,0.0034,0.0007
Std[r],0.003,0.0013,0.0025
Std[rp],0.0061,0.0105,0.0018
Std[rph],0.0017,0.0028,0.0002
Std[Q],0.0073,0.0342,0.0069
Std[sigka],0.004,0.0073,0.0003
Std[mrp],0.0434,0.0651,0.0341
Std[mrph],0.006,0.0145,0.0034
Std[pd],0.3487,0.1429,0.3447
Std[mure],0.0058,0.0388,0.0028
Std[outputG],0.0492,0.0875,0.0487
Std[retQ],0.0024,0.0283,0.0019
"Corr(theta,shock)",-0.2148,0.0141,-0.2097
"Corr(theta,Q)",0.8876,-0.9978,0.9813
"Corr(theta,mrp)",0.8821,0.871,0.972
"Corr(shock,mrp)",-0.1979,0.0054,-0.213
"Corr(Q,r)",-0.7199,-0.3535,-0.9934
"Corr(retQ,r)",-0.0115,-0.1939,-0.1788
"Corr(rp,sigka)",0.9117,0.0036,-0.9555
"Corr(shock,sigka)",-0.0301,0.033,0.211
"Corr(mure,r)",-0.252,-0.2995,0.6484
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0025,,
gamma,5.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
