,All,Crisis,Good
E[theta],1.952,3.576,1.952
E[thetah],0.678,0.612,0.678
E[iota],0.045,0.044,0.045
E[r],0.03,-0.009,0.03
E[rp],0.032,0.169,0.032
E[rph],0.017,0.06,0.017
E[Q],1.446,1.436,1.446
E[sigka],0.058,0.145,0.058
E[mrp],0.543,1.156,0.543
E[mrph],0.299,0.415,0.299
E[pd],22.122,23.461,22.121
E[mure],0.062,0.144,0.062
E[outputG],0.015,-0.116,0.015
E[retQ],0.0,-0.013,0.0
Std[theta],0.2763,0.0494,0.2744
Std[thetah],0.0299,0.0115,0.0299
Std[iota],0.0007,0.0014,0.0007
Std[r],0.0027,0.0008,0.0026
Std[rp],0.0032,0.0061,0.002
Std[rph],0.0008,0.0018,0.0003
Std[Q],0.0066,0.014,0.0066
Std[sigka],0.0015,0.0038,0.0003
Std[mrp],0.0384,0.0338,0.0363
Std[mrph],0.0046,0.0077,0.004
Std[pd],0.3258,0.0597,0.3247
Std[mure],0.0027,0.0247,0.0016
Std[outputG],0.0489,0.0413,0.0488
Std[retQ],0.0017,0.0128,0.0016
"Corr(theta,shock)",-0.2133,-0.0388,-0.212
"Corr(theta,Q)",0.9657,-0.9997,0.9824
"Corr(theta,mrp)",0.9584,0.947,0.9773
"Corr(shock,mrp)",-0.215,-0.0286,-0.2185
"Corr(Q,r)",-0.9407,0.5695,-0.997
"Corr(retQ,r)",-0.1134,0.3689,-0.1682
"Corr(rp,sigka)",0.2043,-0.146,-0.9966
"Corr(shock,sigka)",0.0686,0.1049,0.2204
"Corr(mure,r)",0.3435,-0.9979,0.8181
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0007,,
gamma,6.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
