,All,Crisis,Good
E[theta],1.432,,1.432
E[thetah],0.77,,0.77
E[iota],0.043,,0.043
E[r],-0.002,,-0.002
E[rp],0.064,,0.064
E[rph],0.048,,0.048
E[Q],1.429,,1.429
E[sigka],0.059,,0.059
E[mrp],1.095,,1.095
E[mrph],0.81,,0.81
E[pd],21.278,,21.278
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.0745,,0.0745
Std[thetah],0.0207,,0.0207
Std[iota],0.0003,,0.0003
Std[r],0.002,,0.002
Std[rp],0.0016,,0.0016
Std[rph],0.0006,,0.0006
Std[Q],0.0034,,0.0034
Std[sigka],0.0001,,0.0001
Std[mrp],0.0292,,0.0292
Std[mrph],0.0077,,0.0077
Std[pd],0.1605,,0.1605
Std[mure],0.0004,,0.0004
Std[outputG],0.049,,0.049
Std[retQ],0.0009,,0.0009
"Corr(theta,shock)",-0.2603,,-0.2603
"Corr(theta,Q)",0.9973,,0.9973
"Corr(theta,mrp)",0.9995,,0.9995
"Corr(shock,mrp)",-0.262,,-0.262
"Corr(Q,r)",-0.9994,,-0.9994
"Corr(retQ,r)",-0.1975,,-0.1975
"Corr(rp,sigka)",-0.999,,-0.999
"Corr(shock,sigka)",0.2638,,0.2638
"Corr(mure,r)",0.9997,,0.9997
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,15.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
