,All,Crisis,Good
E[theta],2.992,4.649,2.881
E[thetah],0.612,0.653,0.609
E[iota],0.046,0.037,0.046
E[r],0.049,0.007,0.052
E[rp],0.017,0.135,0.009
E[rph],0.003,0.019,0.002
E[Q],1.457,1.374,1.463
E[sigka],0.065,0.171,0.057
E[mrp],0.204,0.787,0.165
E[mrph],0.04,0.111,0.035
E[pd],23.018,23.893,22.959
E[mure],0.065,0.133,0.061
E[outputG],0.016,-0.082,0.022
E[retQ],0.0,-0.014,0.001
Std[theta],0.6687,1.0199,0.4565
Std[thetah],0.0298,0.0692,0.0224
Std[iota],0.0031,0.0089,0.0006
Std[r],0.0113,0.0041,0.0025
Std[rp],0.0305,0.0152,0.0014
Std[rph],0.0042,0.0021,0.0001
Std[Q],0.0314,0.0885,0.006
Std[sigka],0.0278,0.0147,0.0003
Std[mrp],0.1551,0.1178,0.0255
Std[mrph],0.0187,0.0105,0.0014
Std[pd],0.3832,0.3308,0.3078
Std[mure],0.0295,0.0655,0.0174
Std[outputG],0.0713,0.176,0.0515
Std[retQ],0.0176,0.0606,0.0085
"Corr(theta,shock)",-0.2851,-0.041,-0.2576
"Corr(theta,Q)",-0.545,-0.9006,0.9839
"Corr(theta,mrp)",0.7886,0.8916,0.9993
"Corr(shock,mrp)",-0.2197,-0.0221,-0.2572
"Corr(Q,r)",0.5778,-0.7586,-0.8132
"Corr(retQ,r)",0.1599,-0.2605,-0.225
"Corr(rp,sigka)",0.9875,0.3079,-0.5559
"Corr(shock,sigka)",-0.1802,0.0353,0.1798
"Corr(mure,r)",-0.5321,-0.3228,0.5453
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0676,,
gamma,1.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
