,All,Crisis,Good
E[theta],1.385,,1.385
E[thetah],0.784,,0.784
E[iota],0.043,,0.043
E[r],-0.009,,-0.009
E[rp],0.071,,0.071
E[rph],0.055,,0.055
E[Q],1.426,,1.426
E[sigka],0.059,,0.059
E[mrp],1.214,,1.214
E[mrph],0.926,,0.926
E[pd],21.173,,21.173
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],-0.0,,-0.0
Std[theta],0.0604,,0.0604
Std[thetah],0.0188,,0.0188
Std[iota],0.0003,,0.0003
Std[r],0.0018,,0.0018
Std[rp],0.0014,,0.0014
Std[rph],0.0006,,0.0006
Std[Q],0.003,,0.003
Std[sigka],0.0001,,0.0001
Std[mrp],0.0268,,0.0268
Std[mrph],0.0077,,0.0077
Std[pd],0.1386,,0.1386
Std[mure],0.0004,,0.0004
Std[outputG],0.0488,,0.0488
Std[retQ],0.0009,,0.0009
"Corr(theta,shock)",-0.2648,,-0.2648
"Corr(theta,Q)",0.9982,,0.9982
"Corr(theta,mrp)",0.9996,,0.9996
"Corr(shock,mrp)",-0.2662,,-0.2662
"Corr(Q,r)",-0.9996,,-0.9996
"Corr(retQ,r)",-0.208,,-0.208
"Corr(rp,sigka)",-0.9993,,-0.9993
"Corr(shock,sigka)",0.2677,,0.2677
"Corr(mure,r)",0.9998,,0.9998
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,17.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
