,All,Crisis,Good
E[theta],1.524,,1.524
E[thetah],0.746,,0.746
E[iota],0.043,,0.043
E[r],0.009,,0.009
E[rp],0.054,,0.054
E[rph],0.037,,0.037
E[Q],1.433,,1.433
E[sigka],0.059,,0.059
E[mrp],0.915,,0.915
E[mrph],0.636,,0.636
E[pd],21.466,,21.466
E[mure],0.062,,0.062
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.1002,,0.1002
Std[thetah],0.0228,,0.0228
Std[iota],0.0004,,0.0004
Std[r],0.0021,,0.0021
Std[rp],0.0017,,0.0017
Std[rph],0.0005,,0.0005
Std[Q],0.0041,,0.0041
Std[sigka],0.0002,,0.0002
Std[mrp],0.0314,,0.0314
Std[mrph],0.007,,0.007
Std[pd],0.1917,,0.1917
Std[mure],0.0005,,0.0005
Std[outputG],0.049,,0.049
Std[retQ],0.0011,,0.0011
"Corr(theta,shock)",-0.2416,,-0.2416
"Corr(theta,Q)",0.9953,,0.9953
"Corr(theta,mrp)",0.9989,,0.9989
"Corr(shock,mrp)",-0.244,,-0.244
"Corr(Q,r)",-0.999,,-0.999
"Corr(retQ,r)",-0.1925,,-0.1925
"Corr(rp,sigka)",-0.9984,,-0.9984
"Corr(shock,sigka)",0.2462,,0.2462
"Corr(mure,r)",0.9996,,0.9996
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,12.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
