,All,Crisis,Good
E[theta],1.617,,1.617
E[thetah],0.727,,0.727
E[iota],0.044,,0.044
E[r],0.016,,0.016
E[rp],0.046,,0.046
E[rph],0.03,,0.03
E[Q],1.436,,1.436
E[sigka],0.058,,0.058
E[mrp],0.794,,0.794
E[mrph],0.521,,0.521
E[pd],21.636,,21.636
E[mure],0.062,,0.062
E[outputG],0.014,,0.014
E[retQ],-0.0,,-0.0
Std[theta],0.1336,,0.1336
Std[thetah],0.0252,,0.0252
Std[iota],0.0005,,0.0005
Std[r],0.0024,,0.0024
Std[rp],0.0019,,0.0019
Std[rph],0.0005,,0.0005
Std[Q],0.0048,,0.0048
Std[sigka],0.0002,,0.0002
Std[mrp],0.0344,,0.0344
Std[mrph],0.0066,,0.0066
Std[pd],0.2279,,0.2279
Std[mure],0.0005,,0.0005
Std[outputG],0.0489,,0.0489
Std[retQ],0.0012,,0.0012
"Corr(theta,shock)",-0.2339,,-0.2339
"Corr(theta,Q)",0.9929,,0.9929
"Corr(theta,mrp)",0.9978,,0.9978
"Corr(shock,mrp)",-0.2372,,-0.2372
"Corr(Q,r)",-0.9988,,-0.9988
"Corr(retQ,r)",-0.1819,,-0.1819
"Corr(rp,sigka)",-0.9981,,-0.9981
"Corr(shock,sigka)",0.2397,,0.2397
"Corr(mure,r)",0.9995,,0.9995
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,10.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
