,All,Crisis,Good
E[theta],1.567,,1.567
E[thetah],0.737,,0.737
E[iota],0.043,,0.043
E[r],0.012,,0.012
E[rp],0.05,,0.05
E[rph],0.034,,0.034
E[Q],1.434,,1.434
E[sigka],0.059,,0.059
E[mrp],0.855,,0.855
E[mrph],0.578,,0.578
E[pd],21.546,,21.546
E[mure],0.062,,0.062
E[outputG],0.014,,0.014
E[retQ],-0.0,,-0.0
Std[theta],0.1154,,0.1154
Std[thetah],0.0241,,0.0241
Std[iota],0.0004,,0.0004
Std[r],0.0023,,0.0023
Std[rp],0.0018,,0.0018
Std[rph],0.0005,,0.0005
Std[Q],0.0044,,0.0044
Std[sigka],0.0002,,0.0002
Std[mrp],0.033,,0.033
Std[mrph],0.0069,,0.0069
Std[pd],0.2094,,0.2094
Std[mure],0.0005,,0.0005
Std[outputG],0.0489,,0.0489
Std[retQ],0.0011,,0.0011
"Corr(theta,shock)",-0.2393,,-0.2393
"Corr(theta,Q)",0.9944,,0.9944
"Corr(theta,mrp)",0.9986,,0.9986
"Corr(shock,mrp)",-0.2421,,-0.2421
"Corr(Q,r)",-0.9989,,-0.9989
"Corr(retQ,r)",-0.1859,,-0.1859
"Corr(rp,sigka)",-0.9982,,-0.9982
"Corr(shock,sigka)",0.2445,,0.2445
"Corr(mure,r)",0.9995,,0.9995
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,11.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
