,All,Crisis,Good
E[theta],1.676,3.277,1.676
E[thetah],0.716,0.599,0.716
E[iota],0.044,0.046,0.044
E[r],0.019,-0.02,0.019
E[rp],0.043,0.189,0.043
E[rph],0.027,0.079,0.027
E[Q],1.438,1.458,1.438
E[sigka],0.058,0.138,0.058
E[mrp],0.733,1.364,0.733
E[mrph],0.464,0.572,0.464
E[pd],21.734,23.258,21.734
E[mure],0.062,0.169,0.062
E[outputG],0.015,-0.098,0.015
E[retQ],-0.0,-0.005,-0.0
Std[theta],0.1563,0.0,0.1562
Std[thetah],0.0263,0.0,0.0263
Std[iota],0.0005,0.0,0.0005
Std[r],0.0024,0.0,0.0024
Std[rp],0.002,0.0,0.0019
Std[rph],0.0005,0.0,0.0005
Std[Q],0.0051,0.0,0.0051
Std[sigka],0.0003,0.0,0.0002
Std[mrp],0.0356,0.0,0.0355
Std[mrph],0.0062,0.0,0.0062
Std[pd],0.2475,0.0,0.2475
Std[mure],0.0008,0.0,0.0008
Std[outputG],0.049,0.0,0.049
Std[retQ],0.0013,0.0,0.0013
"Corr(theta,shock)",-0.2278,,-0.2278
"Corr(theta,Q)",0.9902,,0.9903
"Corr(theta,mrp)",0.9953,,0.9955
"Corr(shock,mrp)",-0.2319,,-0.2321
"Corr(Q,r)",-0.9982,,-0.9987
"Corr(retQ,r)",-0.1778,,-0.1784
"Corr(rp,sigka)",-0.9121,,-0.9615
"Corr(shock,sigka)",0.2229,,0.2291
"Corr(mure,r)",0.9469,,0.9511
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,9.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
