,All,Crisis,Good
E[theta],1.332,,1.332
E[thetah],0.801,,0.801
E[iota],0.042,,0.042
E[r],-0.019,,-0.019
E[rp],0.082,,0.082
E[rph],0.065,,0.065
E[Q],1.424,,1.424
E[sigka],0.059,,0.059
E[mrp],1.391,,1.391
E[mrph],1.103,,1.103
E[pd],21.046,,21.046
E[mure],0.063,,0.063
E[outputG],0.013,,0.013
E[retQ],-0.0,,-0.0
Std[theta],0.0482,,0.0482
Std[thetah],0.017,,0.017
Std[iota],0.0003,,0.0003
Std[r],0.0017,,0.0017
Std[rp],0.0013,,0.0013
Std[rph],0.0006,,0.0006
Std[Q],0.0026,,0.0026
Std[sigka],0.0001,,0.0001
Std[mrp],0.0249,,0.0249
Std[mrph],0.008,,0.008
Std[pd],0.1185,,0.1185
Std[mure],0.0004,,0.0004
Std[outputG],0.0491,,0.0491
Std[retQ],0.0008,,0.0008
"Corr(theta,shock)",-0.2791,,-0.2791
"Corr(theta,Q)",0.9987,,0.9987
"Corr(theta,mrp)",0.9997,,0.9997
"Corr(shock,mrp)",-0.2803,,-0.2803
"Corr(Q,r)",-0.9997,,-0.9997
"Corr(retQ,r)",-0.216,,-0.216
"Corr(rp,sigka)",-0.9995,,-0.9995
"Corr(shock,sigka)",0.2816,,0.2816
"Corr(mure,r)",0.9999,,0.9999
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,20.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
