,All,Crisis,Good
E[theta],1.457,,1.457
E[thetah],0.763,,0.763
E[iota],0.043,,0.043
E[r],0.002,,0.002
E[rp],0.061,,0.061
E[rph],0.044,,0.044
E[Q],1.43,,1.43
E[sigka],0.059,,0.059
E[mrp],1.034,,1.034
E[mrph],0.752,,0.752
E[pd],21.33,,21.33
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.0811,,0.0811
Std[thetah],0.0213,,0.0213
Std[iota],0.0004,,0.0004
Std[r],0.002,,0.002
Std[rp],0.0016,,0.0016
Std[rph],0.0006,,0.0006
Std[Q],0.0036,,0.0036
Std[sigka],0.0001,,0.0001
Std[mrp],0.0297,,0.0297
Std[mrph],0.0075,,0.0075
Std[pd],0.1691,,0.1691
Std[mure],0.0004,,0.0004
Std[outputG],0.0489,,0.0489
Std[retQ],0.001,,0.001
"Corr(theta,shock)",-0.2548,,-0.2548
"Corr(theta,Q)",0.9968,,0.9968
"Corr(theta,mrp)",0.9993,,0.9993
"Corr(shock,mrp)",-0.2567,,-0.2567
"Corr(Q,r)",-0.9993,,-0.9993
"Corr(retQ,r)",-0.195,,-0.195
"Corr(rp,sigka)",-0.9989,,-0.9989
"Corr(shock,sigka)",0.2587,,0.2587
"Corr(mure,r)",0.9997,,0.9997
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,14.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
