,1,2,3,4,5
144,3.0,1.0,8.0,2.0,2.0
145,5.0,1.0,46.0,1.0,1.0
146,3.0,1.0,5.0,1.0,10.0
147,2.0,2.0,3.0,1.0,3.0
148,2.0,1.0,1.0,3.0,3.0
149,3.0,10.0,7.0,7.0,15.0
150,2.0,5.0,8.0,1.0,1.0
151,1.0,11.0,25.0,1.0,1.0
152,1.0,1.0,6.0,1.0,1.0
153,2.0,1.0,1.0,1.0,6.0
154,4.0,2.0,1.0,1.0,1.0
155,1.0,2.0,23.0,1.0,1.0
156,1.0,18.0,4.0,1.0,1.0
157,2.0,1.0,2.0,1.0,1.0
158,1.0,3.0,1.0,1.0,1.0
159,1.0,1.0,1.0,1.0,2.0
160,4.0,2.0,1.0,12.0,5.0
161,1.0,8.0,4.0,5.0,1.0
162,1.0,1.0,1.0,1.0,1.0
163,2.0,1.0,3.0,2.0,1.0
164,1.0,1.0,4.0,2.0,1.0
165,6.0,1.0,1.0,1.0,1.0
166,1.0,3.0,10.0,32.0,1.0
167,8.0,1.0,1.0,3.0,1.0
168,2.0,12.0,1.0,3.0,3.0
169,5.0,1.0,11.0,14.0,1.0
170,5.0,1.0,1.0,1.0,1.0
171,1.0,1.0,3.0,1.0,2.0
172,1.0,3.0,1.0,1.0,13.0
173,2.0,1.0,2.0,1.0,7.0
174,11.0,2.0,1.0,29.0,2.0
175,2.0,1.0,1.0,3.0,1.0
176,6.0,1.0,1.0,2.0,1.0
177,1.0,2.0,1.0,1.0,1.0
178,1.0,1.0,1.0,2.0,2.0
179,1.0,1.0,14.0,6.0,1.0
180,17.0,5.0,2.0,1.0,1.0
181,1.0,1.0,4.0,4.0,6.0
182,3.0,6.0,1.0,1.0,1.0
183,2.0,1.0,1.0,3.0,1.0
184,2.0,1.0,1.0,8.0,2.0
185,10.0,1.0,2.0,1.0,1.0
186,44.0,15.0,1.0,9.0,5.0
187,1.0,38.0,2.0,1.0,6.0
188,1.0,2.0,1.0,2.0,3.0
189,1.0,1.0,1.0,8.0,1.0
190,1.0,1.0,1.0,9.0,2.0
191,2.0,1.0,1.0,1.0,6.0
192,24.0,3.0,13.0,4.0,4.0
193,1.0,4.0,2.0,2.0,1.0
194,5.0,1.0,2.0,1.0,4.0
195,4.0,15.0,1.0,3.0,3.0
196,1.0,10.0,2.0,1.0,3.0
197,13.0,13.0,8.0,1.0,3.0
198,2.0,5.0,3.0,4.0,1.0
199,1.0,1.0,1.0,2.0,3.0
200,1.0,9.0,1.0,3.0,1.0
201,1.0,1.0,1.0,3.0,1.0
202,2.0,1.0,2.0,1.0,2.0
203,1.0,1.0,23.0,5.0,13.0
204,1.0,2.0,1.0,14.0,3.0
205,2.0,8.0,1.0,1.0,1.0
206,1.0,1.0,1.0,6.0,6.0
207,28.0,11.0,12.0,1.0,1.0
208,1.0,2.0,1.0,1.0,1.0
209,1.0,5.0,1.0,5.0,1.0
210,5.0,1.0,3.0,1.0,4.0
211,1.0,1.0,1.0,2.0,1.0
212,2.0,1.0,2.0,4.0,1.0
213,1.0,11.0,1.0,5.0,1.0
214,5.0,1.0,1.0,1.0,1.0
215,1.0,1.0,1.0,1.0,22.0
216,3.0,3.0,1.0,5.0,2.0
217,1.0,9.0,1.0,4.0,2.0
218,94.0,3.0,1.0,1.0,1.0
219,62.0,1.0,1.0,1.0,3.0
220,2.0,8.0,8.0,3.0,1.0
221,3.0,7.0,1.0,1.0,2.0
222,33.0,3.0,1.0,1.0,1.0
223,1.0,1.0,21.0,1.0,1.0
224,1.0,1.0,3.0,1.0,1.0
225,1.0,1.0,1.0,35.0,5.0
226,5.0,3.0,1.0,1.0,1.0
227,20.0,1.0,9.0,11.0,1.0
228,6.0,5.0,1.0,21.0,1.0
229,1.0,3.0,4.0,1.0,1.0
230,1.0,1.0,1.0,3.0,1.0
231,1.0,1.0,2.0,4.0,1.0
